name,minutes,nutrition,n_steps,steps,description,ingredients,ingredients
a different kind of pistachio ambrosia,260,"[227.5, 17.0, 111.0, 1.0, 4.0, 42.0, 10.0]",10,"['drain fruit cocktail , pineapple and oranges', 'reserving 3 cups of juice', 'set fruit aside', 'pour juice into 4-qt bowl', 'add pudding mix and mix until smooth', 'stir in sour cream', 'add whipped topping and mix until smooth', 'fold in fruit', 'chill for several hours', 'top with pecans just before serving']","this is a different kind of ambrosia, it's got a little more added to it, but oh so good! this makes enough for a crowd!","['fruit cocktail', 'pineapple chunks', 'mandarin oranges', 'instant pistachio pudding mix', 'sour cream', 'frozen whipped topping', 'pecans']",7
a different layered salad,30,"[485.5, 53.0, 17.0, 23.0, 65.0, 52.0, 3.0]",12,"['use a 4-5 quart serving bowl , preferably clear glass so layers are visible', 'whisk all dressing ingredients in a small bowl until well combined', 'refrigerate until ready to use', 'spread spinach over bottom of serving bowl', 'top with chicken', 'place a row of red pepper strips around the sides of the bowl and scatter remaining strips in the middle', 'place egg wedges against side of bowl , the rest in the middle', 'top with even layers of lettuce and carrots', 'spread dressing over top to the edges of bowl to seal', 'refrigerate two hours , or cover airtight and refrigerate overnight', 'just before serving sprinkle with cheese , pecans and bacon', 'i prefer to toss it as well , but some people just spoon through the layers']",i grew up with a traditional layered salad with peas and bacon and cheese. this one is a little different and i like it!,"['light mayonnaise', 'light sour cream', 'lemon juice', 'garlic cloves', 'dry mustard', 'salt', 'pepper', 'sugar', 'baby spinach', 'roasted deli chicken', 'red pepper', 'eggs', 'head iceberg lettuce', 'carrots', 'cheddar cheese', 'pecan pieces', 'bacon']",17
a different macaroni salad,25,"[445.0, 34.0, 45.0, 31.0, 24.0, 20.0, 15.0]",5,"['combine first 6 ingredients , in this step include only the egg yolks leaving the whites', 'this is your sauce', 'chop the whites of the eggs', 'stir in remaining ingredients', 'cover , chill']","i am a thousand island addict, i use it on everything, so eventually it made it's way into a macaroni salad. don't be disturbed by it's pink appearance. =o)","['thousand island dressing', 'vinegar', 'hard-boiled eggs', 'fresh lemon juice', 'prepared mustard', 'sugar', 'salt', 'pepper', 'elbow macaroni', 'celery', 'green peppers', 'onion']",12
a different porridge,15,"[232.4, 3.0, 2.0, 3.0, 23.0, 2.0, 14.0]",5,"['place oats and barley and milk and 3 / 4 cup water in pot', 'cook over moderate heat and bring to boil , stirring', 'reduce heat , simmer , stirring till thick , 5 or 6 minutes', 'spoon into bowls', 'serve with yoghurt']",from recipes+ magazine,"['rolled oats', 'rolled barley', 'cinnamon', 'skim milk', 'yoghurt']",5
a different roast beef sandwich,5,"[338.6, 15.0, 21.0, 69.0, 42.0, 10.0, 13.0]",3,"['combine first 3 ingredients', 'spread mixture on bread slices', 'layer lettuce , roast beef , tomato slices and onion']","can't remember where i got this but it is quick and good. add a couch some doritos, cold beer and sports on tv!!!!","['mayonnaise', 'prepared horseradish', 'chili sauce', 'rye bread', 'deli roast beef', 'tomatoes', 'red onion', 'romaine lettuce']",8
a different salsa verde,10,"[135.7, 22.0, 0.0, 3.0, 1.0, 10.0, 0.0]",4,"['blend the herbs , garlic , capers , and anchovy fillets to a coarse paste', 'you can use a food processor , blender or immersion blender', 'scrape down the sides and slowly add oil and blend until it makes a smooth sauce', 'season to taste']","this is from ""herbs and spices the cook's reference"" by jill norman. i've never seen one like this! it sounds more like a flavored oil sauce. serve with poached or baked fish, grilled meats, artichokes, cauliflower or broccoli.","['fresh parsley sprigs', 'of fresh mint', 'fresh garlic clove', 'capers', 'anchovy fillets', 'extra virgin olive oil', 'salt', 'fresh ground black pepper']",8
a different seven layer salad,20,"[92.3, 9.0, 13.0, 12.0, 11.0, 16.0, 1.0]",8,"['dressing:', 'process all ingredients together and chill', 'salad:', 'cook tortellini as per package directions', 'rinse in cold water', 'in a 3 quart rectangular dish , layer the spinach , tortellini , mushrooms , tomatoes and green onions', 'pour dressing over and sprinkle with the bacon', 'cover and chill for 2 hours']","here's another version of seven layer salad, but this recipe starts with spinach tortellini and uses no peas.  it makes a nice change from the usual combination.   you can use regular bacon in place of the canadian bacon for a change of taste.","['sour cream', 'buttermilk', 'feta cheese', 'sugar', 'dill', 'basil', 'pepper', 'spinach tortellini', 'spinach', 'mushrooms', 'roma tomatoes', 'green onions', 'canadian bacon']",13
a different slaw    for a change,70,"[148.4, 18.0, 24.0, 11.0, 2.0, 8.0, 3.0]",5,"['mix all sauce ingredients using a whisk , or in a blender or food processor', 'set aside', 'in a mixing bowl , toss all slaw ingredients together', 'pour sauce over slaw and toss well to coat', 'cover and refrigerate for at least 1 hour before serving']",this is a wonderful variation of regular cole slaw,"['garlic', 'mayonnaise', 'olive oil', 'dry mustard', 'salt', 'black pepper', 'cayenne', 'sugar', 'green cabbage', 'red cabbage', 'fresh spinach', 'red onion', 'carrot', 'green onions']",14
a different spinach salad,5,"[298.1, 30.0, 60.0, 1.0, 14.0, 9.0, 9.0]",3,"['divide the spinach among four salad plates', 'top with sliced bananas , strawberries and walnuts', 'serve with dressing , to taste']","this salad combines fresh spinach with strawberries, bananas, walnuts and raspberry dressing.  not like the bacon grease dressing type spinach salad...an altogether different experience.  very tasty!","['baby spinach', 'bananas', 'fresh strawberries', 'walnuts', 'raspberry vinaigrette dressing']",5
a different style fried rice,25,"[356.2, 14.0, 5.0, 36.0, 44.0, 8.0, 12.0]",11,"['heat a medium nonstick skillet over high heat and coat with cooking spray', 'pour half of the eggs into the pan , swirling to coat the bottom , and let cook until set , about 1 minute', 'remove the skillet from the heat', 'flip the eggs and cook for 1 minute more', 'transfer the egg tortilla to a cutting board and repeat the process with the cooking spray and the remaining egg', 'roll up each egg tortilla and slice crosswise into 1 / 4 inch thick strips', 'in a large skillet , heat the sesame oil over high heat', 'add the shrimp , chorizo and onion and cook , stirring , until the shrimp is just opaque , 1 - 2 minutes', 'mix in the rice , soy sauce and sherry', 'cook until heated through', 'stir in the egg strips and top with cilantro']",got this from everyday with rachael ray.  a wonderful twist to eggs and rice.,"['eggs', 'toasted sesame oil', 'shrimp', 'chorizo sausage', 'onion', 'cooked white rice', 'soy sauce', 'sherry wine', 'cilantro']",9
a different tiramisu,745,"[509.8, 22.0, 296.0, 4.0, 21.0, 46.0, 27.0]",11,"['combine ricotta cheese , icing sugar , sour cream and coffee liqueur in a medium mixing bowl', 'place cranberry sauce in a separate bowl and beat with a fork until smooth', 'to layer dessert , spoon 2 tablespoon of the cranberry mixture in a medium wine glass', 'add 1 / 3 cup cookie crumbs , spreading to the edge of the glass', 'spoon 1 / 4 cup of the ricotta mixture over the crumbs', 'continue layering by adding 1 / 3 cup cookie crumbs and 1 / 4 cup cranberry mixture', 'finish with 1 / 4 cup of the ricotta mixture', 'repeat the layering process with the remaining ingredients in 3 additional wine glasses', 'amounts needed for layering will vary with size and shape of wine glasses', 'top each tiramisu with grated chocolate', 'loosely cover with plastic wrap and refrigerate overnight']","a wonderfull company dessert, lovely presentation and tastes great too. chill time is cook time","['ricotta cheese', 'icing sugar', 'fat free sour cream', 'coffee liqueur', 'jellied cranberry sauce', 'cookies', 'chocolate']",7
a different tomato salad dressing,5,"[127.4, 20.0, 0.0, 31.0, 2.0, 9.0, 0.0]",3,"['whisk all ingredients together', 'toss with quartered tomatoes and fresh mozzarella cubes', 'can also add celery and green onions']","for an easy, tasty, and different twist on the tomato-mozzarella salad, try this dressing. the tastes of the balsamic and soy are so good together!","['olive oil', 'soy sauce', 'balsamic vinegar']",3
a different tuna casserole,45,"[316.5, 12.0, 23.0, 32.0, 44.0, 12.0, 12.0]",4,"['perpare kraft dinner as usual', 'mix kd and rest of ingredients in a casserole dish', 'bake at 350 for 30 minutes', 'crushed crakers can be added to top of casserole before placing in oven if desired']",tuna casserole with a twist.. and a family favourite.. cheap to make.,"['tuna', 'kraft macaroni and cheese', 'cream of mushroom soup', 'green peppers', 'pepper', 'saltine crackers']",6
a different way to make chicken   rice,90,"[280.2, 13.0, 27.0, 56.0, 44.0, 15.0, 9.0]",11,"['marinate chicken meat and livers for 30 minutes', 'saut onions , chicken meat and livers', 'cook for 5 minutes and season with salt and pepper', 'add tomato sauce and simmer for 5 minutes', 'set aside', 'heat 4 tbsp margarine over moderate flame', 'add cooked rice and stir with wooden spoon', 'pour stock and cook for 15 minutes stirring occasionally to prevent sticking', 'add sauted chicken mixture , cheese and bell peppers', 'mix thoroughly', 'serve hot']",a budget-easy rice dish you can serve as a meal by itself.,"['boneless chicken breast', 'chicken liver', 'tomato sauce', 'cooked rice', 'red bell pepper', 'onion', 'chicken stock', 'salt and pepper', 'cheese', 'soy sauce', 'pepper']",11
a dilly dip for veggies,5,"[707.0, 97.0, 30.0, 38.0, 9.0, 103.0, 11.0]",2,"['combine all ingredients& mix well', 'refrigerate in a covered container for 24 hours before using']",i've tried many many veggie dip recipes but this is my favourite. a co-worker gave it to me years ago - the beau monde is what makes it so good!!!,"['sour cream', 'mayonnaise', 'beau monde spice', 'garlic', 'chives', 'hot sauce', 'parsley', 'dill weed']",8
a dilly of a pea salad,15,"[92.6, 1.0, 28.0, 10.0, 12.0, 0.0, 5.0]",4,"['wash and drain lettuce , wrap in paper towels and chill until serving time , for a nice crisp lettuce do this at least 2 hours before serving', 'combine peas , celery , scallions , dill , salt , pepper and miracle whip and chill 1-2 hours', 'salt tomato , cover and leave at room temperature', 'to serve combine tomato and juice with the pea mixture , spoon over lettuce']","a colorful, easy and fresh tasting version of the traditional english pea salad. chill out this summer with the perfect side dish for grilled food. prep time does not include chilling.","['romaine lettuce', 'frozen peas', 'celery', 'scallions', 'dried dill weed', 'salt', 'fresh ground black pepper', 'miracle whip', 'tomatoes']",9
a dilly potato salad  no mayo,25,"[139.8, 8.0, 7.0, 2.0, 5.0, 3.0, 6.0]",14,"['place potatoes large saucepan', 'add water to cover', 'bring to boil', 'cook until potatoes are just tender', 'add beans', 'cook 2 minutes', 'drain', 'cool slightly', 'mix potatoes , beans , olives , celery and onion in large bowl', 'whisk remaining ingredients in small bowl', 'add to vegetables', 'toss to coat', 'refrigerate at least 4 hours or until ready to serve', 'stir before serving']","seasoned just right, this potato and bean salad will be a hit at your next summertime bbq. this is much lower in fat than the usual potato salad.","['red potatoes', 'fresh green beans', 'sliced ripe olives', 'celery', 'onion', 'vegetable oil', 'white wine vinegar', 'seasoning salt', 'dill weed', 'dry mustard']",10
a diner breakfast,75,"[483.8, 40.0, 16.0, 13.0, 24.0, 33.0, 16.0]",25,"['make hash browns--using a food processor or stand mixer fitted with the shredding attachment or the large holes of a box shredder-grated , shred the unpeeled potatoes', 'a handful at a time , squeeze the potatoes to remove as much moisture as possible and place in a large bowl', 'add the onion , 1 1 / 2 teaspoon salt , and 1 / 4 teaspoon pepper and mix well', 'in a frying pan , preferably cast-iron , heat 2 tablespoons oil over med-high heat until it shimmers', 'add the potato mixture and spread it into a thick cake', 'decrease heat to medium , cover , and cook until the underside is golden brown and crisp , about 6 minutes', 'using a large , wide metal spatula , transfer the potatoes to a plate', 'add the remaining oil to the pan and heat', 'flip the potatoes back into the pan , browned side up', 'continue cooking , uncovered , until golden brown and crisp on the other side , about 6 minutes more', 'meanwhile , preheat the broiler', 'season the steaks with salt and pepper', 'place the steaks on the broiler pan and broil , turning after 2 minutes , until the steaks are browned on the outside and medium-rare , about 4 minutes total , or until done to your liking', 'transfer to a platter and tent with aluminum foil', 'turn off the broiler', 'transfer the potatoes to a baking sheet and keep warm in the turned-off oven', 'wipe out the frying pan with paper towels', 'return the pan to medium heat , add the butter and heat until foamy', 'one at a time , crack the eggs into the pan', 'season with salt and pepper , cover , decrease heat to med-low , and cook until the whites are set , about 2 minutes , for sunny-side up eggs', 'or carefully flip the eggs and cook to the desired doneness', 'meanwhile , toast the bread', 'to serve , divide the hash browns , steaks , and eggs evenly among 4 plates', 'top the hash browns with sour cream and a sprinkle of chives', 'serve with the toast']",in 'williams-sonoma: comfort food',"['baking potatoes', 'yellow onion', 'kosher salt', 'fresh ground black pepper', 'canola oil', 'rib eye steaks', 'unsalted butter', 'eggs', 'white bread', 'sour cream', 'fresh chives']",11
a doozie of a floozie burger,50,"[635.9, 64.0, 15.0, 39.0, 84.0, 89.0, 7.0]",10,"['mix together your sweet onion , dill pickle , mayonnaise and finely chopped lettuce and set aside', 'fry your eggs until no longer runny and set aside', ""you do want the whole floozie experience don't you ?"", 'mix together your ground beef , cajun seasoning and pepper , forming into 8 burgers', 'fry your burgers until they are no longer pink inside', 'set aside and place a slice of tomato on top', 'saute your mushrooms in butter and portion out onto your burgers and immediately top with cheese and your fried egg', 'top with the slaw toppings then declare yourself a floozie remember , this is a toplessummmopen faced burger', 'i ask you -- would a floozie want it any other way ?', ""we can't help it if you want your extra bun on top , but take it from us , its a whole lot more fun without""]","a burger to tempt your senses--from clear down south--you never had it so good! one taste of our burger and you're going to declare yourself an honorary floozie. the ultimate open-faced burger, but don't hesitate to put your top bun on if you're feeling a little shy (we didn't get the nickname floozie for nuthin' ya know!).","['sweet onions', 'dill pickle', 'mayonnaise', 'lettuce', 'ground beef', 'cajun seasoning', 'pepper', 'tomatoes', 'sliced mushrooms', 'butter', 'cheese', 'eggs', 'hamburger buns']",13
a dozen cheesecakes,33,"[254.2, 20.0, 28.0, 7.0, 9.0, 30.0, 9.0]",11,"['please', 'preheat oven to 325f line muffin tin with 12 liners', 'in each liner place 1 tsp cookie dough', 'bake 10 minutes or until cookie has spread to edges of liner', 'while those are baking , beat cream cheese , sweetened condensed milk , egg and vanilla in a medium mixing bowl until smooth', 'pour 2-3 tablespoons cream cheese mix over each baked cookie', 'bake another 15-18 minutes or until set', 'cool completely in pan on a wire rack', 'refridgerate 1 hour before serving', 'top with your favourite cheesescake flavour', 'strawberry jam or butterscotch syrup are the usual favourites at my house !']","one for you, one for me, one for you, one for me.....","['refrigerated chocolate chip cookie dough', 'low-fat cream cheese', 'sweetened condensed milk', 'egg', 'vanilla extract']",5
a dream of peaches n cream cake,40,"[587.3, 53.0, 176.0, 13.0, 11.0, 80.0, 21.0]",8,"['make the cake per the boxes directions and bake in 2 round pans', 'cool cake and split each cake layer in half making 4 layers', 'cook the peaches with the next 3 ingredients until thick', 'cool the peaches until they are completely cool', 'place a 1 / 3 of the peach mixture on bottom layer', 'cover with a third of the sour cream', 'repeat the layering twice use the whipped cream to ice the sides and top of the cake', 'chill the cake until set']",this a fantastic cake--great in the summer.,"['butter recipe cake mix', 'eggs', 'oil', 'water', 'peaches', 'sugar', 'cornstarch', 'sour cream', 'whipping cream']",9
a drinkable chocolate chip cookie experiment,2,"[287.6, 16.0, 107.0, 6.0, 16.0, 29.0, 13.0]",2,"['pour milk , melted margarine , and vanilla into blender , followed by the brown sugar and cocoa', 'blend until well mixed , and serve with about four ice cubes']","i was craving something light, sweet, and smoothie-like tonight but wasn't sure what. and then it hit me - a drinkable chocolate chip cookie! i set out here on zaar to see what i could find and didn't find much. so, i started looking for some edible cookie dough recipes to take inspiration from, and this is what i came up with. as the title suggests, i consider this an ongoing experiment. feel free to contribute your suggestions! recipe may be doubled, tripled, etc. according to the size of your blender.","['milk', 'vanilla', 'margarine', 'brown sugar', 'cocoa']",5
a duck fart,5,"[70.1, 2.0, 23.0, 0.0, 0.0, 5.0, 1.0]",3,"['place the ingredients in a shaker with ice', 'shake and then strain into 3 shot glasses', 'down the hatch !']",i love the name of this drink the most. this is one that every cocktail guide has. tried tested and nice.,"['amaretto', 'kahlua', 'baileys irish cream']",3
a duet of pasta and cheese,20,"[615.4, 28.0, 9.0, 9.0, 45.0, 32.0, 29.0]",11,"['cook the spaghetti in boiling , salted water until al dente', 'save about a quarter cup of the water when you drain the pasta', 'meanwhile , saut the garlic in the oil and butter until the garlic is soft', 'add salt and pepper', 'add the cooked pasta and the reserved cooking water to the pan', 'cook for 1 or 2 minutes', 'you want the pasta to be golden and a little crispy', 'add the cheese', 'scramble the eggs lightly in a separate pan and add them to the pasta', 'cook for another minute or so until the eggs are set to your comfort level', 'sprinkle with parsley']","very filling and very comforting. ideally, this should be eaten as soon as it's made.","['spaghetti', 'garlic', 'olive oil', 'butter', 'salt and pepper', 'cheese', 'eggs', 'fresh parsley']",8
a fabulous vinegar pudding,65,"[368.1, 15.0, 164.0, 8.0, 9.0, 30.0, 21.0]",10,"['preheat oven to 160f', 'mix together the flour , sugar and butter and bi-carb', 'in separate bowl beat together milk , apricot jam and eggs', 'lastly add the milk', 'mix to the flour mix', 'keep the dough aside and finish the following sauce:', 'bring to boil in saucepan or microwave oven the water sugar and vinegar', 'put sauce in ovenproof deep glass dish', 'pour the dough into the sauce and bake in preheated oven for about 45 minutes or until light brown in colour', 'optional: serve with custard']",this is a very old traditional recipe.  it has a sweet and sour taste and is still enjoyed by many south africans.  it was usually served after a sunday lunch.  it can be served with custard or without as it is quite a moist pudding. serve hot.,"['cake flour', 'butter', 'apricot jam', 'sugar', 'eggs', 'milk', 'bicarbonate of soda', 'water', 'white vinegar']",9
a famous chicken salad sandwich,10,"[372.8, 29.0, 80.0, 8.0, 47.0, 16.0, 9.0]",6,"['drain chicken and put in bowl', 'add some mayo so that it does not have that dry appearance', 'next , start adding the apples , grapes , celery , and pecans', 'next , chop up the egg and add it to the salad', 'spread the salad on the bread with lettuce and tomato', 'enjoy !']","after enjoying an arby's sandwich i could not help but try to make one similar because it was that good. i think this is pretty close, but better because all the fruits are fresh.  

i don't really measure so, the measurements are guesses, and it's more of getting a desired consistency.  also use your own favorite type of bread.  i preferably use whole grain wheat.","['white chicken meat packed in water', 'mayonnaise', 'apples', 'grapes', 'celery', 'pecans', 'hard-boiled eggs', 'honey-wheat bread', 'lettuce', 'tomatoes']",10
a faster egg muffin,2,"[342.0, 23.0, 9.0, 39.0, 43.0, 35.0, 9.0]",9,"['by the time it takes to read this , you can be done already ! why wait in a drive through ? need to eat healthy ? use a whole grain muffin ! feel like you must eat in your car ? okay wrap it in a paper towel and drive', ""here's how to make:"", 'use a 2 cup glass pyrex measuring cup !', 'break your egg into the pyrex and stir it up to break the yolk', 'top with deli ham', 'cook in microwave for 30 seconds on high', 'top with shredded cheese and cook for 15-20 seconds longer to melt cheese', 'with a butterknife loosen the cooked egg and guide it onto your muffin and place the top on it', 'go ahead eat it !']",this egg muffin is faster and cheaper than waiting in the drive-through on your way to work.,"['english muffin', 'egg', 'deli ham', 'cheese']",4
a feel good meal,30,"[230.9, 4.0, 11.0, 0.0, 18.0, 2.0, 15.0]",6,"['in a large fry pan heat oil', 'add veggies and stir fry for a couple minutes till desired tenderness', 'add herbs and stir to combine', 'add pasta and 1 / 2 cup pasta water', 'adjust taste with salt and pepper if desired', 'if not watching your fat go ahead and drizzle olive oil over and or top with grated cheese']","no guilt here!
after the zaar world tour i needed a low fat - low calorie meal and came up with this. using garden fresh herbs and veggies.
pasta is a comfort food for many using whole wheat pasta  giving more fiber, no sodium, low in fat, with no preservatives.
a low fat pasta dish making a feel good meal that is good for you!   

having fresh veggies, herbs and lots of heat from hot pepper to kick it up with flavor and very little oil keeping the fat down.","['whole wheat pasta', 'olive oil', 'garlic cloves', 'hot red chili peppers', 'red onion', 'cherry tomatoes', 'zucchini', 'broccoli floret', 'red bell pepper', 'fresh basil', 'dried oregano', 'dried parsley', 'black pepper']",13
a fool for strawberries,255,"[336.2, 42.0, 66.0, 1.0, 3.0, 85.0, 7.0]",6,"['process the frozen berries and sugar in a blender with the on and off pulse button until just mixed', 'add extract of your choice', 'in a separate mixing bowl , whip the cream until stiff , then fold in the strawberry mixture', 'transfer to parfait glasses and refrigerate at least 4 hours , or until set', 'for presentation , garnish each serving with a few threads of orange zest and some toasted almonds slices if desired', 'yield is estimated']","using frozen strawberries, this recipe
is easy to prepare. from www.oregonstrawberries.org","['frozen strawberries', 'granulated sugar', 'orange extract', 'heavy cream', 'orange zest', 'toasted sliced almonds']",6
a french country affair  elegant omelette gateau w chive flowers,1500,"[246.5, 33.0, 9.0, 8.0, 18.0, 49.0, 1.0]",25,"['take 2 bowls and add 5 eggs to each bowl - whisk lightly', 'in a large frying pan , add 1 teaspoon of the olive oil and fry the courgettes , spring onions , chives and chive flowers', 'saute for about 8 to 10 minutes over a low to medium heat until the vegetables and herbs are soft but not coloured', 'set aside and season with salt and pepper', 'in one bowl of whisked eggs , add the fried courgette mixture and in the other bowl of eggs , add the red peppers , garlic and chili - season well with salt and pepper', 'in an 8"" omelette or pancake pan , heat up some of the remaining olive oil and using a third of the courgette omelette mixture , make an open face omelette', 'fry the omelette for about 5 minutes or until the omelette is firm', 'carefully invert the omelette on to a plate - then slide it back in to the pan cooking the other side of the omelette for about 3 minutes or until firm', 'make two more courgette omelettes this way and set them to one side to cool', 'continue with the red pepper omelette mixture - making three more open face omelettes', 'you will now have three courgette omelettes and three red pepper omelettes', 'allow them to cool before assembling your ""gateau""', 'whilst the omelettes are cooling , make the filling', 'mix all of the filling ingredients together - check the seasoning and add salt and pepper to taste', 'take an 8"" cake tine , line it with some cling film , making sure that it overlaps the sides to about 6""', 'assemble the gateau - start of with the most attractive red pepper omelette , and place it in the cake tin - spread some filling over the top of the omelette', 'continue with a courgette omelette and then a red pepper omelette - continue stacking the omelettes this way , spreading the filling in between them as you go', 'you will end up with a big multi-layered cake or sandwich of omelettes !', 'take the excess cling film and cover the gateau to cover it completely', 'allow to rest in the fridge for 24 hours', 'when you are ready to serve it - carefully take the gateau out using the cling film to help you lift it out of the tin', 'serve it on a pretty plate or cake stand , with the red pepper omelette facing the top', 'sprinkle baby salad leaves and parmesan cheese shavings over the top and around the gateau', 'chive flowers would also be an attractive garnish', 'to serve , cut in to wedges and serve with the salad leaves and parmesan shavings - with extra salad leaves and dressing if you wish']","this would be a wonderful centrepiece for a special celebratory meal, such as a summer wedding, christening, anniversary, birthday or a bridal shower. open faced omelettes, studded with fresh vegetables and herbs including chives and chive flowers, are sandwiched together with herb and garlic cream cheese to create a savoury vegetarian gateau!  top the gateau off with parmesan cheese shavings and toss baby salad leaves on and around the gateau to serve. this does take a little time to prepare, however, it is made a day before it is needed, making it ideal for a special event. you could add thinly sliced ham or crispy bacon if this is not required as a vegetarian dish. preparation time includes the chilling time overnight. (the idea for this recipe was taken from a good food magazine - summer 2008.)","['eggs', 'olive oil', 'courgettes', 'spring onions', 'fresh edible flowers', 'roasted red peppers', 'garlic cloves', 'red chile', 'salt and pepper', 'cream cheese', 'milk', 'fresh chives', 'fresh oregano', 'fresh basil', 'baby spinach', 'parmesan cheese']",16
a french onion soup lovers french onion soup,30,"[690.6, 55.0, 42.0, 94.0, 54.0, 56.0, 18.0]",8,"['cook onions with oil , thyme and sugar until onions are carmelized', 'add minced garlic and saute for 30 seconds', 'deglaze with red wine and follow with beef broth', 'bring to a boil and add worchestire , dijon , salt and pepper', 'simmer for 5 minutes', 'divide in 2 oven safe bowls , top with bread , then shredded cheese', 'put under broiler until cheese is melted and bubbling', 'serve immediately']",over the years i've tested a lot of french onion soups.  this is my favourite combination of ingredients.,"['vidalia onions', 'dried thyme', 'sugar', 'vegetable oil', 'garlic cloves', 'red wine', 'beef broth', 'worcestershire sauce', 'dijon mustard', 'salt', 'pepper', 'gruyere', 'french bread']",13
a fresh roasted tomato and  red pepper soup,75,"[591.5, 48.0, 127.0, 7.0, 35.0, 91.0, 23.0]",15,"['turn broiler on high , adjust rack to 3 inches', 'wash and half all the roasting veggies and place cut side up in deep roasting pan', 'prepare garlic to roast by cutting off top and slightly exposing each clove and toss in with veggies', 'drizzle light with olive oil , and sprinkle scantly with raw sugar', 'place under broiler to roast 20 min or until everything becomes blistered and black', 'you may need to adjust rack and time , or do in batches removing and replacing veggies as needed', 'discard liquid from pan , pop out garlic clove and puree everything in a blender , this may need to be done in batches as well', ""set puree aside , i do not strain this i like all the texture and color , but i'm sure you could if you want"", 'warm chicken stock on stovetop', 'place sliced onion in pan with a small amount of olive oil to caramelize', 'stir until golden and gooey , add garlic at the very end , so not to burn', 'in a large , heavy bottom soup pot , melt butter and add flour , making a roux , stir and cook until dark brown and aromatic about 10 minute', 'whisk in the heated chicken stock , when that is mixed add the tomato puree heavy cream and basil', 'warm slowly and finally add the caramelized onion and garlic', 'garnish with the picoreno cheese , grated with large grader']","i love tomatoes. i grew 20 different types of tomatoes this summer.  i also went a little crazy with  bell peppers. i came up with this recipe and boy is it good! grill cheese sandwiches and soup, oh my gosh!","['fresh tomatoes', 'red bell peppers', 'yellow bell peppers', 'orange bell peppers', 'yellow onion', 'red onion', 'garlic', 'olive oil', 'raw sugar', 'red onions', 'garlic cloves', 'low sodium chicken broth', 'butter', 'flour', 'fresh basil', 'heavy cream', 'pecorino cheese']",17
a friend of a friend of a friend s chocolate bourbon banana brea,60,"[3110.5, 184.0, 1186.0, 87.0, 75.0, 356.0, 165.0]",9,"['preheat the oven to 350f', 'with a wooden spoon , mix butter into the mashed bananas in a large mixing bowl', 'mix in the sugar , egg , vanilla and bourbon , then the spices', 'sprinkle the baking soda and salt over the mixture and mix inches add the flour last , mix', 'finally stir in the chocolate chips', 'pour mixture into a buttered 48 inch loaf pan', 'bake for 50 minutes to one hour , or until a tester comes out clean', 'cool on a rack', 'remove from pan and slice to serve']",clearly a recipe loved by many people :),"['bananas', 'salted butter', 'brown sugar', 'egg', 'vanilla', 'bourbon', 'baking soda', 'salt', 'cinnamon', 'nutmeg', 'ground cloves', 'flour', 'semi-sweet chocolate chips']",13
a fully monty   healthier version,35,"[770.4, 62.0, 70.0, 90.0, 97.0, 62.0, 18.0]",26,"['prep your full monty:', 'preheat the broiler to high', 'put a wire rack on top of a cookie sheet', 'halve the tomatoes', 'trim the stalks of the mushrooms and clean them lightly', 'remove any fat from the bacon', 'score the sausages lengthways and open them out so they are flat', 'put the tomatoes , mushrooms and sausages on the wire rack , with the tomatoes cut side up and the mushrooms stalk side up', 'sprinkle a bit of salt and pepper over the tomatoes and mushrooms', ""very lightly rub them with the oil , you don't need much - even an olive oil spray would work !"", 'to cook your full monty:', 'put the cookie sheet , with wire rack , filled with your prepped ingredients under the broiler for about 5 minutes', 'meanwhile put a pot of water on to boil', 'after 5 minutes , add the bacon to the wire rack and turn the sausages over', 'put it back under the broiler and cook for another 4 to 5 minutes', 'this all depends on the heat and speed of your broiler', 'watch it carefully cook this until the bacon is golden and crispy', 'meanwhile , put the beans into a small saucepan over a medium heat , to warm through', 'put your slices of bread into the toaster', 'crack the eggs into the pan of simmering water and poach for 2 to 3 minutes', 'to test if they are ready , carefully remove one of them using a slotted spoon and touch it gently with your finger', 'if it feels too soft , give it a minute or so more in the water', 'once the eggs are done to your liking , remove them and drain on paper towels', 'to serve your full monty:', 'divide everything between 2 serving plates and sprinkle a bit of salt and pepper over the eggs', 'enjoy !']","this takes a traditional full english breakfast and gives it a healthier twist! thanks to chef jamie oliver, you can get a full monty in under 500 calories. it's actually a lot healthier than most pastries, muffins and croissants. give it a go! *i have to admit that i used regular bacon instead of the canadian bacon. personal preference. it's up to you!","['tomatoes', 'portabella mushrooms', 'canadian bacon', 'sausages', 'salt & freshly ground black pepper', 'olive oil', 'baked beans', 'whole wheat bread', 'eggs']",9
